XLON:MGGT,Meggitt,,,,MGGT
XLON:MRO,Melrose Industries plc,,,,MRO
XLON:MTRO,Metro Bank plc,,,,MTRO
XLON:MLC,Millennium & Copthorne Hotels plc,,,,MLC
XLON:MAB,Mitchells & Butlers Plc,,,,MAB
XLON:MTO,Mitie Group,,,,MTO
XLON:MONY,Moneysupermarket.Com,,,,MONY
XLON:MGAM,Morgan Advanced Materials plc,,,,MGAM
XLON:NEX,National Express,,,,NEX
XLON:NRR,NewRiver REIT plc,,,,NRR
XLON:NXG,NEX Group Plc,,,,NXG
XLON:NOG,Nostrum Oil & Gas plc,,,,NOG
XLON:OCDO,Ocado Group plc,,,,OCDO
XLON:OSB,OneSavings Bank plc,,,,OSB
XLON:PAGE,PageGroup plc,,,,PAGE
XLON:PAG,Paragon Banking Group plc,,,,PAG
XLON:PAY,Paypoint Plc,,,,PAY
XLON:PAYS,Paysafe Group plc,,,,PAYS
XLON:PNN,Pennon Group,,,,PNN
XLON:PFC,Petrofac,,,,PFC
XLON:PETS,Pets At Home Group PLC,,,,PETS
XLON:PHNX,Phoenix Group Holdings,,,,PHNX
XLON:PTEC,Playtech plc,,,,PTEC
XLON:POLY,Polymetal International plc,,,,POLY
XLON:PLP,Polypipe Group plc,,,,PLP
XLON:PFG,Provident Financial plc,,,,PFG
XLON:PZC,PZ Cussons Plc,,,,PZC
XLON:QQ.,QinetiQ Group plc,,,,QQ.
XLON:RNK,Rank Group,,,,RNK
XLON:RAT,Rathbone Brothers plc,,,,RAT
XLON:RDW,Redrow plc,,,,RDW
XLON:RSW,Renishaw plc,,,,RSW
XLON:RTN,Restaurant Group,,,,RTN
XLON:RMV,Rightmove plc,,,,RMV
XLON:ROR,Rotork plc,,,,ROR
XLON:RMG,Royal Mail PLC,,,,RMG
XLON:RPC,RPC Group plc,,,,RPC
XLON:SAFE,Safestore Holdings,,,,SAFE
XLON:SAGA,Saga plc,,,,SAGA
XLON:SNN,Sanne Group plc,,,,SNN
XLON:SVS,Savills plc,,,,SVS
XLON:SNR,Senior plc,,,,SNR
XLON:SRP,Serco Group plc,,,,SRP
XLON:SHB,Shaftesbury,,,,SHB
XLON:SHI,Sig plc,,,,SHI
XLON:SXX,Sirius Minerals plc,,,,SXX
XLON:SMDS,Smith (DS),,,,SMDS
XLON:SCT,Softcat plc,,,,SCT
XLON:SOPH,Sophos Group plc,,,,SOPH
XLON:SXS,Spectris plc,,,,SXS
XLON:SPX,Spirax-Sarco Engineering plc,,,,SPX
XLON:SPI,Spire Healthcare Group plc,,,,SPI
XLON:SPD,Sports Direct Intl Plc,,,,SPD
XLON:SSPG,SSP Group plc,,,,SSPG
XLON:SMP,St Modwen Properties plc,,,,SMP
XLON:SGC,Stagecoach Group plc,,,,SGC
XLON:STOB,Stobart Group Ltd,,,,STOB
XLON:SGP,Supergroup,,,,SGP
XLON:SYNT,Synthomer plc,,,,SYNT
XLON:TALK,Talktalk Telecom Group Plc,,,,TALK
XLON:TATE,Tate & Lyle plc,,,,TATE
XLON:TBCG,TBC Bank Group Plc,,,,TBCG
XLON:TED,Ted Baker,,,,TED
XLON:TEP,Telecom Plus plc,,,,TEP
XLON:TCG,Thomas Cook Group plc,,,,TCG
XLON:TCAP,TP ICAP plc,,,,TCAP
XLON:TPK,Travis Perkins plc,,,,TPK
XLON:TLW,Tullow Oil plc,,,,TLW
XLON:UBM,UBM Plc,,,,UBM
XLON:UDG,UDG Healthcare plc,,,,UDG
XLON:ULE,Ultra Electronics Holdings,,,,ULE
XLON:UTG,Unite Group,,,,UTG
XLON:VEC,Vectura Group,,,,VEC
XLON:VED,Vedanta Resources Plc,,,,VED
XLON:VSVS,Vesuvius plc,,,,VSVS
XLON:VCT,Victrex,,,,VCT
XLON:VM.,Virgin Money Holdings (UK) plc,,,,VM.
XLON:WEIR,Weir Group plc,,,,WEIR
XLON:SMWH,WH Smith Plc,,,,SMWH
XLON:WMH,William Hill plc,,,,WMH
XLON:WIZZ,Wizz Air Holdings plc,,,,WIZZ
XLON:WG.,Wood Group (John) Plc,,,,WG.
XLON:WKP,Workspace Group Plc,,,,WKP
XLON:ZPG,ZPG plc,,,,ZPG
III,3i Group Plc,,,,III
ADM,Admiral Group,,,,ADM
AAL,Anglo American,,,,AAL
ANTO,Antofagasta Holdings,,,,ANTO
AHT,Ashtead Group plc,,,,AHT
XLON:ABF,Associated British Foods plc,,,,ABF
AZN,AstraZeneca plc,,,,AZN
AV.,Aviva plc,,,,AV.
XLON:BAB,Babcock International Group,,,,BAB
BA.,BAE Systems plc,,,,BA.
BARC,Barclays plc,,,,BARC
BDEV,Barratt Developments plc,,,,BDEV
BKG,Berkeley Group Holdings plc,,,,BKG
BLT,BHP Billiton plc,,,,BLT
BP.,BP Plc,,,,BP.
BATS,British American Tobacco plc,,,,BATS
BLND,British Land Co plc,,,,BLND
BT.A,BT Group plc,,,,BT.A
BNZL,Bunzl plc,,,,BNZL
BRBY,Burberry Group plc,,,,BRBY
CCL,Carnival plc,,,,CCL
CNA,Centrica plc,,,,CNA
CCH,Coca-Cola HBC AG,,,,CCH
CPG,Compass Group plc,,,,CPG
CTEC,ConvaTec Group Plc,,,,CTEC
CRH,CRH plc,,,,CRH
CRDA,Croda International plc,,,,CRDA
XLON:DCC,DCC plc,,,,DCC
XLON:DGE,Diageo plc,,,,DGE
DLG,Direct Line Insurance Group plc,,,,DLG
XLON:EZJ,easyJet plc,,,,EZJ
EXPN,Experian Plc,,,,EXPN
FERG,Ferguson plc,,,,FERG
FRES,Fresnillo,,,,FRES
GFS,G4S Plc,,,,GFS
GKN,GKN plc,,,,GKN
GSK,GlaxoSmithKline plc,,,,GSK
GLEN,Glencore plc,,,,GLEN
HMSO,Hammerson,,,,HMSO
HL.,Hargreaves Lansdown plc,,,,HL.
HSBA,HSBC Holdings plc,,,,HSBA
IMB,Imperial Brands Group,,,,IMB
XLON:INF,Informa plc,,,,INF
IHG,InterContinental Hotels Group plc,,,,IHG
IAG,International Consolidated Airlines Group SA,,,,IAG
ITRK,Intertek Group plc,,,,ITRK
ITV,ITV plc,,,,ITV
JMAT,Johnson Matthey Plc,,,,JMAT
KGF,Kingfisher,,,,KGF
LAND,Land Securities Group plc,,,,LAND
LGEN,Legal & General Group plc,,,,LGEN
LLOY,Lloyds Banking Group plc,,,,LLOY
LSE,London Stock Exchange Group plc,,,,LSE
XLON:MKS,Marks & Spencer Group plc,,,,MKS
MDC,Mediclinic International plc,,,,MDC
MERL,Merlin Entertainments plc,,,,MERL
XLON:MCRO,Micro Focus International plc,,,,MCRO
MNDI,Mondi Plc,,,,MNDI
MRW,Morrison (Wm) Supermarkets,,,,MRW
NG.,National Grid,,,,NG.
NXT,Next plc,,,,NXT
NMC,NMC Health Plc,,,,NMC
XLON:OML,Old Mutual Plc,,,,OML
PPB,Paddy Power Betfair plc,,,,PPB
PSON,Pearson plc,,,,PSON
PSN,Persimmon plc,,,,PSN
PRU,Prudential plc,,,,PRU
RRS,Randgold Resources,,,,RRS
RB.,Reckitt Benckiser Group Plc,,,,RB.
REL,RELX plc,,,,REL
RTO,Rentokil Initial Plc,,,,RTO
RIO,Rio Tinto plc,,,,RIO
RR.,Rolls Royce Holdings Plc,,,,RR.
RBS,Royal Bank of Scotland Group plc,,,,RBS
RDSA,Royal Dutch Shell Plc A Shares,,,,RDSA
RDSB,Royal Dutch Shell Plc B Shares,,,,RDSB
RSA,RSA Insurance Group,,,,RSA
SGE,Sage Group plc,,,,SGE
SBRY,Sainsbury (J) plc,,,,SBRY
SDR,Schroders plc,,,,SDR
SMT,Scottish Mortgage Investment Trust,,,,SMT
SGRO,Segro Plc,,,,SGRO
SVT,Severn Trent Plc,,,,SVT
XLON:SHP,Shire plc,,,,SHP
SKY,Sky plc,,,,SKY
SN.,Smith & Nephew plc,,,,SN.
XLON:SMIN,Smiths Group Plc,,,,SMIN
SKG,Smurfit Kappa Group Plc,,,,SKG
SSE,SSE plc,,,,SSE
STJ,St James's Place Plc,,,,STJ
STAN,Standard Chartered plc,,,,STAN
XLON:SLA,Standard Life Aberdeen Plc,,,,SLA
TW.,Taylor Wimpey plc,,,,TW.
TSCO,Tesco plc,,,,TSCO
TUI,TUI AG,,,,TUI
ULVR,Unilever plc,,,,ULVR
UU.,United Utilities Group Plc,,,,UU.
VOD,Vodafone Group plc,,,,VOD
XLON:WTB,Whitbread plc,,,,WTB
WPG,Worldpay Group plc,,,,WPG
WPP,WPP plc,,,,WPP
